image,condition,label
22560_2017-04-07 18_31_38-x-ROI_0-x-glomerulus-x-64214-x-134872-x-910-x-909.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_1-x-glomerulus-x-36353-x-60050-x-1074-x-1074.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_10-x-glomerulus-x-48749-x-53314-x-863-x-864.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_100-x-glomerulus-x-79105-x-141663-x-1027-x-1027.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_101-x-glomerulus-x-35059-x-151823-x-953-x-953.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_102-x-glomerulus-x-34307-x-149249-x-963-x-963.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_103-x-glomerulus-x-81511-x-142755-x-903-x-903.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_104-x-glomerulus-x-85766-x-142676-x-942-x-942.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_105-x-glomerulus-x-82307-x-148404-x-977-x-977.png,Periglomerular fibrosis,4
22560_2017-04-07 18_31_38-x-ROI_106-x-glomerulus-x-33138-x-66050-x-713-x-713.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_107-x-glomerulus-x-41379-x-65877-x-925-x-925.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_108-x-glomerulus-x-25240-x-150358-x-949-x-949.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_109-x-glomerulus-x-30438-x-147005-x-960-x-960.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_11-x-glomerulus-x-55381-x-52267-x-1035-x-1035.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_110-x-glomerulus-x-32834-x-62390-x-849-x-849.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_111-x-glomerulus-x-71755-x-128844-x-682-x-682.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_112-x-glomerulus-x-58733-x-46017-x-952-x-953.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_113-x-glomerulus-x-31754-x-63645-x-826-x-826.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_114-x-glomerulus-x-67713-x-50083-x-700-x-701.png,Periglomerular fibrosis,4
22560_2017-04-07 18_31_38-x-ROI_115-x-glomerulus-x-36130-x-152983-x-919-x-920.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_116-x-glomerulus-x-78026-x-138556-x-957-x-956.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_117-x-glomerulus-x-49926-x-52041-x-817-x-816.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_118-x-glomerulus-x-60945-x-141495-x-901-x-901.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_119-x-glomerulus-x-33573-x-63272-x-769-x-769.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_12-x-glomerulus-x-74675-x-54541-x-837-x-837.png,Periglomerular fibrosis,4
22560_2017-04-07 18_31_38-x-ROI_120-x-glomerulus-x-65422-x-130897-x-952-x-952.png,Normal,0
22560_2017-04-07 18_31_38-x-ROI_121-x-glomerulus-x-61879-x-125774-x-802-x-802.png,Normal,0
