image,condition,label
22559_2017-04-07 17_41_57-x-ROI_0-x-glomerulus-x-31830-x-130909-x-1027-x-1027.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_1-x-glomerulus-x-57404-x-57062-x-933-x-933.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_10-x-glomerulus-x-14601-x-61529-x-916-x-916.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_100-x-glomerulus-x-21551-x-141171-x-869-x-869.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_101-x-glomerulus-x-55127-x-132524-x-1173-x-1173.png,Periglomerular fibrosis,4
22559_2017-04-07 17_41_57-x-ROI_102-x-glomerulus-x-75403-x-66728-x-906-x-906.png,Periglomerular fibrosis,4
22559_2017-04-07 17_41_57-x-ROI_103-x-glomerulus-x-36345-x-138699-x-935-x-935.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_104-x-glomerulus-x-79965-x-133505-x-844-x-844.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_105-x-glomerulus-x-61560-x-66129-x-1086-x-1086.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_106-x-glomerulus-x-71563-x-133585-x-909-x-908.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_107-x-glomerulus-x-63001-x-61680-x-878-x-877.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_108-x-glomerulus-x-49154-x-67320-x-910-x-911.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_109-x-glomerulus-x-54990-x-54156-x-927-x-927.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_11-x-glomerulus-x-20924-x-47591-x-920-x-920.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_110-x-glomerulus-x-46493-x-133815-x-1001-x-1001.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_111-x-glomerulus-x-44156-x-133435-x-945-x-944.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_112-x-glomerulus-x-73446-x-59317-x-845-x-845.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_113-x-glomerulus-x-65280-x-53320-x-682-x-682.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_114-x-glomerulus-x-69708-x-61848-x-936-x-936.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_115-x-glomerulus-x-63843-x-129030-x-1004-x-1005.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_116-x-glomerulus-x-75288-x-54507-x-989-x-990.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_117-x-glomerulus-x-25209-x-56972-x-824-x-824.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_118-x-glomerulus-x-50303-x-60364-x-832-x-831.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_119-x-glomerulus-x-27643-x-61593-x-823-x-823.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_12-x-glomerulus-x-72696-x-134144-x-938-x-938.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_120-x-glomerulus-x-23163-x-136697-x-968-x-968.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_121-x-glomerulus-x-59270-x-58171-x-881-x-881.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_122-x-glomerulus-x-59081-x-140201-x-988-x-988.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_123-x-glomerulus-x-32837-x-64357-x-942-x-941.png,Normal,0
22559_2017-04-07 17_41_57-x-ROI_124-x-glomerulus-x-74901-x-126810-x-909-x-909.png,Normal,0
